,count
TALONG000073396,22844
ENSMUSG00000031972.5,17165
ENSMUSG00000030730.12,16086
ENSMUSG00000091898.8,9232
ENSMUSG00000100801.1,7372
ENSMUSG00000026459.5,6598
ENSMUSG00000032294.17,6341
ENSMUSG00000063229.15,6171
ENSMUSG00000068220.6,6098
ENSMUSG00000030695.16,5838
ENSMUSG00000026043.18,5617
ENSMUSG00000017300.9,5595
ENSMUSG00000060600.15,5580
ENSMUSG00000027523.19,5538
ENSMUSG00000034220.7,5459
ENSMUSG00000020908.14,5218
ENSMUSG00000025393.12,5218
ENSMUSG00000026208.9,5093
ENSMUSG00000026185.8,4988
ENSMUSG00000025203.6,4969
ENSMUSG00000045128.9,4905
ENSMUSG00000067274.10,4868
ENSMUSG00000079523.8,4385
ENSMUSG00000023004.8,4348
ENSMUSG00000062997.6,4151
ENSMUSG00000063524.13,4103
ENSMUSG00000034994.10,3899
ENSMUSG00000030672.12,3890
ENSMUSG00000030399.2,3867
ENSMUSG00000041841.8,3779
ENSMUSG00000084349.3,3692
ENSMUSG00000093674.7,3594
TALONG000065354,3580
ENSMUSG00000027107.3,3565
ENSMUSG00000000031.16,3517
ENSMUSG00000061816.15,3366
ENSMUSG00000035242.15,3313
ENSMUSG00000029467.15,3279
ENSMUSG00000025428.15,3208
ENSMUSG00000037664.13,3207
ENSMUSG00000034892.8,3126
ENSMUSG00000026418.16,3094
ENSMUSG00000023944.14,3005
ENSMUSG00000024381.16,3002
ENSMUSG00000058672.7,2997
ENSMUSG00000028063.15,2978
ENSMUSG00000005469.10,2904
ENSMUSG00000031633.4,2899
ENSMUSG00000037742.14,2870
TALONG000083318,2858
